ID,Symbol,Open time,Volume,Side,Close time,Open price,Close Price,Stop loss,Take profit,Swap,Commission,Profit,Reason
W70730757402045565,XAUUSD,2025-08-13T07:38:10.669,0.15,SELL,2025-08-13T07:52:15.144,3358.99,3357.22,3360.76,3357.21,0.00,-0.75,25.80,Take Profit
W06848381632049297,XAUUSD,2025-08-13T06:40:25.835,0.23,BUY,2025-08-13T07:13:16.572,3355.69,3359.17,3353.73,3359.17,0.00,-1.15,78.89,Take Profit
W70730757401943397,XAUUSD,2025-08-12T04:55:53.068,0.30,BUY,2025-08-12T05:06:20.133,3354.59,3354.53,3353.06,3355.04,0.00,-1.50,-3.30,User
W06848381631893238,XAUUSD,2025-08-11T11:41:26.759,0.30,BUY,2025-08-11T11:44:58.836,3351.41,3353.57,3349.80,3353.56,0.00,-1.50,63.30,Take Profit
W06848381631892642,XAUUSD,2025-08-11T11:32:35.863,0.20,SELL,2025-08-11T11:33:18.858,3350.64,3350.72,3352.65,3350.64,0.00,-1.00,-2.60,Take Profit
W70730757401883111,XAUUSD,2025-08-11T11:22:16.276,0.30,SELL,2025-08-11T11:23:37.589,3353.86,3353.85,3355.35,3351.13,0.00,-1.50,-1.20,User
W70726465391878706,XAUUSD,2025-08-11T10:04:29.518,0.20,BUY,2025-08-11T10:06:25.763,3355.13,3357.34,3353.00,3357.33,0.00,-1.00,43.20,Take Profit
W70726465391829390,XAUUSD,2025-08-08T15:36:24.551,0.20,BUY,2025-08-08T15:42:32.636,3393.25,3394.15,3390.83,3394.25,0.00,-1.00,17.00,Take Profit
W70726465391807411,XAUUSD,2025-08-08T12:36:48.106,0.10,BUY,2025-08-08T12:38:19.167,3399.21,3400.85,3396.56,3403.83,0.00,-0.50,15.90,User
W70730757401801780,XAUUSD,2025-08-08T12:00:49.425,0.10,BUY,2025-08-08T12:07:24.724,3388.05,3387.22,3383.63,3388.17,0.00,-0.50,-8.80,User
W70730757401797357,XAUUSD,2025-08-08T11:05:12.666,0.20,BUY,2025-08-08T11:17:50.692,3386.71,3384.57,3384.57,3390.08,0.00,-1.00,-43.80,Stop Loss
W70726465391792891,XAUUSD,2025-08-08T09:36:53.869,0.25,BUY,2025-08-08T09:46:20.228,3400.14,3400.27,3398.44,3403.58,0.00,-1.25,2.00,User
W70730757401789405,XAUUSD,2025-08-08T09:14:52.761,0.21,BUY,2025-08-08T09:31:42.045,3398.63,3397.98,3398.05,3402.01,0.00,-1.05,-14.70,Stop Loss
W70726465391790625,XAUUSD,2025-08-08T09:08:59.078,0.20,BUY,2025-08-08T09:11:07.363,3396.40,3397.81,3394.02,3399.99,0.00,-1.00,27.20,User
W70730757401788336,XAUUSD,2025-08-08T09:03:29.447,0.20,BUY,2025-08-08T09:05:46.769,3398.17,3396.46,3396.54,3399.88,0.00,-1.00,-35.20,Stop Loss
W06848381631794369,XAUUSD,2025-08-08T08:36:28.854,0.23,BUY,2025-08-08T08:46:05.984,3399.55,3397.29,3397.34,3401.30,0.00,-1.15,-53.13,Stop Loss
W06848381631789542,XAUUSD,2025-08-08T07:42:04.194,0.15,BUY,2025-08-08T07:51:46.515,3395.90,3402.77,3392.27,3402.54,0.00,-0.75,102.30,Take Profit
W70730757401780534,XAUUSD,2025-08-08T07:31:21.639,0.20,BUY,2025-08-08T07:37:22.832,3396.21,3394.12,3394.14,3400.66,0.00,-1.00,-42.80,Stop Loss
W70726465391779601,XAUUSD,2025-08-08T07:07:02.379,0.10,BUY,2025-08-08T07:09:43.6,3399.43,3397.64,3397.65,3402.67,0.00,-0.50,-18.40,Stop Loss
W70726465391778235,XAUUSD,2025-08-08T06:53:12.533,0.20,BUY,2025-08-08T07:04:51.697,3391.22,3397.84,3388.71,3397.79,0.00,-1.00,131.40,Take Profit
W70730757401775687,XAUUSD,2025-08-08T06:35:05.893,0.10,SELL,2025-08-08T06:39:04.663,3392.25,3390.71,3395.46,3390.18,0.00,-0.50,14.90,User
W70726465391774557,XAUUSD,2025-08-08T05:55:58.741,0.20,BUY,2025-08-08T06:21:09.383,3393.77,3394.71,3392.14,3399.93,0.00,-1.00,17.80,User
W70730757401771032,XAUUSD,2025-08-08T05:17:30.414,0.30,BUY,2025-08-08T05:27:24.638,3393.87,3393.56,3392.43,3398.16,0.00,-1.50,-10.80,User
